Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Jackman,Maine,104,US-Canada Border,Jan-24,Trucks,6556,45.806,-70.397,POINT (-70.396722 45.805661)
Porthill,Idaho,3308,US-Canada Border,Apr-24,Trucks,98,49,-116.499,POINT (-116.49925 48.999861)
San Luis,Arizona,2608,US-Mexico Border,Apr-24,Buses,10,32.485,-114.782,POINT (-114.7822222 32.485)
Willow Creek,Montana,3325,US-Canada Border,Jan-24,Pedestrians,2,49,-109.731,POINT (-109.731333 48.999972)
Warroad,Minnesota,3423,US-Canada Border,Jan-24,Personal Vehicle Passengers,9266,48.999,-95.377,POINT (-95.376555 48.999)
Whitlash,Montana,3321,US-Canada Border,Jan-24,Personal Vehicles,29,48.997,-111.258,POINT (-111.257916 48.99725)
Ysleta,Texas,2401,US-Mexico Border,Jan-24,Personal Vehicle Passengers,521714,31.673,-106.335,POINT (-106.335449846028 31.6731261376859)
Warroad,Minnesota,3423,US-Canada Border,Jan-24,Trucks,837,48.999,-95.377,POINT (-95.376555 48.999)
Wildhorse,Montana,3323,US-Canada Border,Jan-24,Trucks,20,48.999,-110.215,POINT (-110.215083 48.999361)
Wildhorse,Montana,3323,US-Canada Border,Jan-24,Personal Vehicle Passengers,965,48.999,-110.215,POINT (-110.215083 48.999361)
Warroad,Minnesota,3423,US-Canada Border,Jan-24,Bus Passengers,278,48.999,-95.377,POINT (-95.376555 48.999)
Westhope,North Dakota,3419,US-Canada Border,Jan-24,Truck Containers Loaded,102,49,-101.017,POINT (-101.017277 48.999611)
Warroad,Minnesota,3423,US-Canada Border,Jan-24,Truck Containers Loaded,459,48.999,-95.377,POINT (-95.376555 48.999)
Ysleta,Texas,2401,US-Mexico Border,Jan-24,Truck Containers Empty,21355,31.673,-106.335,POINT (-106.335449846028 31.6731261376859)
Sweetgrass,Montana,3310,US-Canada Border,Jan-24,Truck Containers Empty,1985,48.998,-111.96,POINT (-111.959611 48.998388)
Brownsville,Texas,2301,US-Mexico Border,Jan-24,Rail Containers Empty,7712,25.952,-97.401,POINT (-97.40067 25.95155)
Sumas,Washington,3009,US-Canada Border,Jan-24,Bus Passengers,327,49.002,-122.265,POINT (-122.264805 49.002388)
Madawaska,Maine,109,US-Canada Border,Jan-24,Truck Containers Empty,130,47.36,-68.329,POINT (-68.328684 47.360052)
Dalton Cache,Alaska,3106,US-Canada Border,Jan-24,Truck Containers Loaded,21,59.451,-136.362,POINT (-136.361944 59.450556)
Calexico East,California,2507,US-Mexico Border,Jan-24,Personal Vehicle Passengers,435768,32.673,-115.388,POINT (-115.388018 32.673389)
Pinecreek,Minnesota,3425,US-Canada Border,Jan-24,Personal Vehicle Passengers,188,49,-95.978,POINT (-95.977694 48.999916)
Laurier,Washington,3016,US-Canada Border,Jan-24,Trains,4,49,-118.224,POINT (-118.223777 49.000083)
Laredo,Texas,2304,US-Mexico Border,Jan-24,Personal Vehicles,425998,27.5,-99.507,POINT (-99.507412 27.499561)
Sumas,Washington,3009,US-Canada Border,Jan-24,Buses,14,49.002,-122.265,POINT (-122.264805 49.002388)
Frontier,Washington,3020,US-Canada Border,Jan-24,Bus Passengers,194,49,-117.832,POINT (-117.831527 49.0005)
Port Huron,Michigan,3802,US-Canada Border,Jan-24,Truck Containers Empty,9154,42.999,-82.424,POINT (-82.423611 42.998611)
Pembina,North Dakota,3401,US-Canada Border,Jan-24,Train Passengers,204,49,-97.237,POINT (-97.237036 49.000453)
Fort Fairfield,Maine,107,US-Canada Border,Jan-24,Trucks,525,46.765,-67.789,POINT (-67.789471 46.765323)
